theme,word,translate
Глаголы,abrir,открывать
Глаголы,amar,любить
Глаголы,aprender,учиться
Глаголы,ayudar,помогать
Глаголы,beber,пить
Глаголы,buscar,искать
Глаголы,caminar,гулять
Глаголы,comer,есть
Глаголы,comprar,покупать
Глаголы,conducir,водить
Глаголы,conocer,знакомиться
Глаголы,contar,считать
Глаголы,correr,бежать
Глаголы,crear,создавать
Глаголы,creer,верить
Глаголы,cuidar,заботиться
Глаголы,decidir,решать
Глаголы,decir,говорить
Глаголы,dejar,покидать
Глаголы,desear,желать
Глаголы,dirigir,руководить
Глаголы,empezar,начинать
Глаголы,encontrar,находить
Глаголы,entender,понимать
Глаголы,entrar,входить
Глаголы,escribir,писать
Глаголы,escuchar,слушать
Глаголы,esperar,ждать
Глаголы,estar,быть/временное состояние
Глаголы,estudiar,учиться
Глаголы,existir,существовать
Глаголы,ganar,выигрывать
Глаголы,gustar,нравиться
Глаголы,haber,иметь
Глаголы,hablar,говорить
Глаголы,hacer,делать
Глаголы,intentar,пытаться
Глаголы,ir,идти
Глаголы,jugar,играть
Глаголы,llegar,приходить
Глаголы,llevar,нести
Глаголы,lograr,достигать
Глаголы,mantener,поддерживать
Глаголы,mirar,смотреть
Глаголы,nacer,рождаться
Глаголы,nadar,плавать
Глаголы,necesitar,нуждаться
Глаголы,olvidar,забывать
Глаголы,pagar,платить
Глаголы,pasear,гулять
Глаголы,pasar,проходить
Глаголы,pensar,думать
Глаголы,perder,терять
Глаголы,permitir,позволять
Глаголы,poder,мочь
Глаголы,poner,класть
Глаголы,preferir,предпочитать
Глаголы,probar,пробовать
Глаголы,querer,хотеть
Глаголы,recibir,получать
Глаголы,recordar,помнить
Глаголы,regresar,возвращаться
Глаголы,resolver,решать
Глаголы,saber,знать
Глаголы,sacar,вынимать
Глаголы,salir,выходить
Глаголы,sentir,чувствовать
Глаголы,ser,быть
Глаголы,tener,иметь
Глаголы,tomar,брать
Глаголы,trabajar,работать
Глаголы,traer,принести
Глаголы,usar,использовать
Глаголы,venir,приходить
Глаголы,ver,видеть
Глаголы,viajar,путешествовать
Глаголы,vivir,жить
Глаголы,volver,возвращаться
Прилагательные,grande,большой
Прилагательные,pequeño,маленький
Прилагательные,nuevo,новый
Прилагательные,bueno,хороший
Прилагательные,malo,плохой
Прилагательные,bonito,красивый
Прилагательные,feo,уродливый
Прилагательные,rápido,быстрый
Прилагательные,lento,медленный
Прилагательные,fácil,легкий
Прилагательные,difícil,трудный
Прилагательные,limpio,чистый
Прилагательные,sucio,грязный
Прилагательные,fresco,свежий
Прилагательные,stale,несвежий
Прилагательные,amable,добрый
Прилагательные,grosero,грубый
Прилагательные,gracioso,смешной
Прилагательные,cálido,теплый
Прилагательные,gelado,мороженный
Прилагательные,claro,ясный
Прилагательные,oscuro,темный
Прилагательные,famoso,известный
Прилагательные,desconocido,неизвестный
Прилагательные,gordo,толстый
Прилагательные,flaco,худой
Прилагательные,salado,соленый
Прилагательные,dulce,сладкий
Прилагательные,picante,острый
Прилагательные,agrio,кислый
Прилагательные,blando,мягкий
Прилагательные,duro,жесткий
Прилагательные,saludable,здоровый
Прилагательные,enfermo,больной
Прилагательные,insípido,безвкусный
Прилагательные,seco,сухой
Прилагательные,húmedo,влажный
Прилагательные,brillante,яркий
Прилагательные,opaco,матовый
Прилагательные,ligero,легкий
Прилагательные,pesado,тяжелый
Прилагательные,tranquilo,спокойный
Прилагательные,ruidoso,шумный
Прилагательные,alto,громкий
Прилагательные,bajo,тихий
Прилагательные,importante,важный
Прилагательные,insignificante,незначительный
Прилагательные,cómodo,удобный
Прилагательные,incómodo,неудобный
Прилагательные,seguro,безопасный
Прилагательные,peligroso,опасный
Прилагательные,hermoso,красивый
Прилагательные,horrible,ужасный
Прилагательные,necesario,необходимый
Прилагательные,innecesario,ненужный
Прилагательные,alegre,веселый
Прилагательные,molesto,раздражающий
Прилагательные,furioso,сердитый
Прилагательные,inteligente,умный
Прилагательные,tonto,глупый
Прилагательные,honesto,честный
Прилагательные,desonesto,нечестный
Прилагательные,verdadero,истинный
Прилагательные,falso,ложный
Прилагательные,valiente,смелый
Прилагательные,cobarde,трусливый
Прилагательные,amigable,дружелюбный
Прилагательные,hostil,враждебный
Прилагательные,perezoso,ленивый
Прилагательные,feliz,счастливый
Прилагательные,miserable,несчастный
Прилагательные,respetuoso,уважительный
Прилагательные,irrespetuoso,неуважительный
Прилагательные,sincero,искренний
Прилагательные,fingido,фальшивый
Прилагательные,generoso,щедрый
Прилагательные,egoísta,эгоистичный
Прилагательные,apuesto,красивый/о мужчинах
Прилагательные,guapo,красивый/о мужчинах
Прилагательные,hermosa,красивая/о женщинах
Прилагательные,bonita,красивая/о женщинах
Прилагательные,trabajador,трудолюбивый
Прилагательные,vago,ленивый
Прилагательные,delgado,худой
Прилагательные,grueso,толстый
Прилагательные,amplio,широкий
Прилагательные,estrecho,узкий
Прилагательные,débil,слабый
Прилагательные,fuerte,сильный
Прилагательные,fino,тонкий
Прилагательные,grosso,грубый
Прилагательные,caliente,горячий
Прилагательные,frío,холодный
Прилагательные,agradable,приятный
Прилагательные,desagradable,неприятный
Прилагательные,divertido,веселый
Прилагательные,aburrido,скучный
Прилагательные,interesante,интересный
Прилагательные,rico,богатый
Прилагательные,pobre,бедный
Прилагательные,triste,грустный
Прилагательные,contento,счастливый
Прилагательные,nervioso,нервный
Прилагательные,relajado,расслабленный
Прилагательные,despierto,бодрствующий
Прилагательные,dormido,спящий
Прилагательные,joven,молодой
Прилагательные,viejo,старый
Прилагательные,amoroso,любящий
Прилагательные,odioso,ненавистный
Наречия,abajo,вниз
Наречия,acerca,о
Наречия,además,кроме того
Наречия,afuera,снаружи
Наречия,ahora,сейчас
Наречия,alrededor,вокруг
Наречия,antes,раньше
Наречия,aquí,здесь
Наречия,así,так
Наречия,aún,еще
Наречия,bien,хорошо
Наречия,casi,почти
Наречия,claro,конечно
Наречия,cerca,близко
Наречия,después,после
Наречия,donde,где
Наречия,durante,вовремя
Наречия,entonces,тогда
Наречия,fuera,снаружи
Наречия,hoy,сегодня
Наречия,luego,потом
Наречия,más,больше
Наречия,menos,меньше
Наречия,mucho,много
Наречия,muy,очень
Наречия,nunca,никогда
Наречия,quizás,возможно
Наречия,siempre,всегда
Наречия,sí,да
Наречия,también,тоже
Наречия,tarde,поздно
Наречия,temprano,рано
Наречия,todavía,все еще
Наречия,ya,уже
Наречия,ahora mismo,прямо сейчас
Наречия,allá,там
Наречия,apenas,едва
Наречия,asíque,поэтому
Наречия,aúnno,пока нет
Наречия,casi nunca,почти никогда
Наречия,derepente,вдруг
Наречия,demasiado,слишком
Наречия,despacio,медленно
Наречия,enabsoluto,совсем не
Наречия,engeneral,в целом
Наречия,enseguida,сразу же
Наречия,finalmente,наконец
Наречия,frecuentemente,часто
Наречия,hasta ahora,до сих пор
Наречия,hasta pronto,до скорого
Наречия,hasta siempre,до встречи
Наречия,lamentablemente,к сожалению
Наречия,nunca más,никогда больше
Наречия,por ahora,пока что
Наречия,por lo general,как правило
Наречия,por supuesto,конечно
Наречия,rápidamente,быстро
Наречия,realmente,действительно
Наречия,seguramente,наверняка
Наречия,todavía no,пока что нет
Наречия,totalmente,полностью
Наречия,verdaderamente,истинно
Наречия,a menudo,часто
Наречия,a veces,иногда
Наречия,aún así,тем не менее
Наречия,casi siempre,почти всегда
Наречия,denuevo,снова
Наречия,después de todo,в конце концов
Наречия,exactamente,точно
Наречия,hacemucho,давно
Наречия,justo,только что
Наречия,por completo,полностью
Наречия,por fin,наконец
Наречия,por lomenos,по крайней мере
Наречия,pronto,скоро
Наречия,sin embargo,однако
Наречия,tan pronto como,как только
Наречия,una vez,однажды
Наречия,ya no,больше нет
Предлоги и частицы,a,к\в
Предлоги и частицы,ante,перед
Предлоги и частицы,bajo,под
Предлоги и частицы,con,с
Предлоги и частицы,contra,против
Предлоги и частицы,de,из\о\от
Предлоги и частицы,desde,с\от
Предлоги и частицы,durante,вовремя
Предлоги и частицы,en,в на
Предлоги и частицы,entre,между
Предлоги и частицы,hacia,к\по направлению к
Предлоги и частицы,hasta,до
Предлоги и частицы,mediante,посредством
Предлоги и частицы,para,для
Предлоги и частицы,por,через\по
Предлоги и частицы,según,согласно
Предлоги и частицы,sin,без
Предлоги и частицы,sobre,над\о
Предлоги и частицы,tras,за
Предлоги и частицы,y,и
Предлоги и частицы,e,и
Предлоги и частицы,ni,ни
Предлоги и частицы,o,или
Предлоги и частицы,u,или
Предлоги и частицы,que,что
Предлоги и частицы,si,если
Предлоги и частицы,cuando,когда
Предлоги и частицы,como,как
Предлоги и частицы,pero,но
Предлоги и частицы,aunque,хотя
Предлоги и частицы,porque,потому что
Предлоги и частицы,mientras,пока
Предлоги и частицы,antes,до того как
Предлоги и частицы,después,после того как
Существительные,agua,вода
Существительные,aire,воздух
Существительные,amigo,друг
Существительные,animal,животное
Существительные,año,год
Существительные,apellido,фамилия
Существительные,árbol,дерево
Существительные,arte,искусство
Существительные,boca,рот
Существительные,calle,улица
Существительные,cama,кровать
Существительные,casa,дом
Существительные,cielo,небо
Существительные,ciudad,город
Существительные,coche,автомобиль
Существительные,color,цвет
Существительные,comida,еда
Существительные,corazón,сердце
Существительные,cuerpo,тело
Существительные,cuento,рассказ
Существительные,día,день
Существительные,dinero,деньги
Существительные,diente,зуб
Существительные,dolor,боль
Существительные,eje,ось
Существительные,ejemplo,пример
Существительные,espacio,пространство
Существительные,estrella,звезда
Существительные,familia,семья
Существительные,fuego,огонь
Существительные,gente,люди
Существительные,gobierno,правительство
Существительные,hombre,мужчина
Существительные,hoja,лист
Существительные,hora,час
Существительные,juego,игра
Существительные,luz,свет
Существительные,madera,дерево/материал
Существительные,mano,рука
Существительные,mar,море
Существительные,mes,месяц
Существительные,miedo,страх
Существительные,mujer,женщина
Существительные,mundo,мир
Существительные,niño,ребенок
Существительные,noche,ночь
Существительные,nombre,имя
Существительные,ojo,глаз
Существительные,oreja,ухо
Существительные,papel,бумага
Существительные,paso,шаг
Существительные,piedra,камень
Существительные,pueblo,деревня
Существительные,río,река
Существительные,ropa,одежда
Существительные,sangre,кровь
Существительные,sol,солнце
Существительные,tarea,задание
Существительные,tiempo,время
Существительные,tren,поезд
Существительные,ventana,окно
Существительные,vida,жизнь
Части тела,brazo,рука
Части тела,cabeza,голова
Части тела,cara,лицо
Части тела,codo,локоть
Части тела,corazón,сердце
Части тела,dedo,палец
Части тела,diente,зуб
Части тела,espalda,спина
Части тела,estómago,живот
Части тела,mano,рука
Части тела,nariz,нос
Части тела,ojo,глаз
Части тела,oreja,ухо
Части тела,pierna,нога
Части тела,pulmón,легкое
Части тела,rodilla,колено
Части тела,tobillo,лодыжка
Части тела,uña,ноготь
Части тела,cadera,таз
Части тела,cuello,шея
Части тела,muslo,бедро
Части тела,hombro,плечо
Части тела,barbilla,подбородок
Части тела,muñeca,запястье
Части тела,pecho,грудь
Части тела,labio,губа
Части тела,pelo,волосы
Части тела,ceja,бровь
Части тела,mejilla,щека
Части тела,lengua,язык
Вопросы,qué,что
Вопросы,quién,кто
Вопросы,dónde,где
Вопросы,adónde,куда
Вопросы,cuándo,когда
Вопросы,porqué,почему
Вопросы,cómo,как
Вопросы,cuál,какой
Вопросы,cuánto,сколько
Сложные,sequir,продолжать
Сложные,conseguir,достигать\получать
Сложные,llegar,прибывать\приходить
Сложные,llevar,приносить\носить
Сложные,pedir,заказать\требовать
